0
"abandon"
"abandoned"
"abandoning"
"abandonment"
"abashed"
"abashment"
"abate"
"abatement"
"abdomen"
"abduct"
"abducting"
"abduction"
"abductor"
"aberration"
"abhasuras"
"abhaya"
"abhibhu"
"abhighatas"
"abhijit"
"abhimana"
"abhimanyu"
"abhimanyus"
"abhimanyuuttara"
"abhiras"
"abhiru"
"abhisars"
"abhishahas"
"abhishava"
"abhisheka"
"abhorrence"
"abhorrent"
"abide"
"abiding"
"abilities"
"ability"
"abjectness"
"ablaze"
"able"
"ablebodied"
"abler"
"ablution"
"ablutions"
"ably"
"abode"
"abodes"
"abolition"
"abomination"
"abortion"
"abortive"
"abounding"
"abridge"
"abridgement"
"abridgment"
"absence"
"absent"
"absolute"
"absolution"
"absorbed"
"absorption"
"abstain"
"abstainer"
"abstainest"
"abstaineth"
"abstaining"
"abstemiousness"
"abstension"
"abstention"
"abstentions"
"abstinence"
"abstract"
"abstraction"
"abstracts"
"absurdity"
"abundance"
"abundantly"
"abuse"
"abuser"
"abut"
"abyakta"
"abyss"
"acala"
"accent"
"accents"
"accept"
"acceptable"
"acceptance"
"accepting"
"acceptor"
"acceptress"
"accepts"
"access"
"accession"
"accident"
"accidental"
"accidents"
"accommodation"
"accompanied"
"accompaniment"
"accompany"
"accomplish"
"accomplished"
"accomplisher"
"accomplishing"
"accomplishment"
"accomplishments"
"accord"
"accordance"
"accordeth"
"according"
"accordingly"
"accordone"
"account"
"accoutred"
"accoutrements"
"accretion"
"accumulation"
"accuracy"
"accurately"
"accusation"
"accusations"
"accustomed"
"achala"
"achamana"
"acharya"
"acharyas"
"achieve"
"achieved"
"achievement"
"achievements"
"achiever"
"achievest"
"achieveth"
"achieving"
"achutasthala"
"achyuta"
"achyutayus"
"acid"
"acknowledgment"
"acme"
"acquaintance"
"acquainted"
"acquiescence"
"acquirable"
"acquire"
"acquired"
"acquirement"
"acquirements"
"acquirer"
"acquires"
"acquireth"
"acquiring"
"acquisition"
"acquisitions"
"acquittance"
"acrid"
"acrimonious"
"across"
"act"
"acted"
"actest"
"acteth"
"acting"
"action"
"actions"
"active"
"activity"
"activityone"
"actor"
"actors"
"actress"
"acts"
"actsappropriation"
"actsthis"
"actual"
"acute"
"acutest"
"acyuta"
"acyutayudha"
"ad"
"adamant"
"adamantine"
"adaptability"
"adbhuta"
"added"
"addiction"
"adding"
"addition"
"address"
"addressed"
"addresses"
"addressing"
"addresst"
"addrest"
"adept"
"adequate"
"adhakshaja"
"adharma"
"adharyu"
"adharyus"
"adhere"
"adherence"
"adherent"
"adherents"
"adhereth"
"adhesion"
"adhidaivatam"
"adhiraja"
"adhiratha"
"adhirathas"
"adhishthana"
"adhishthanas"
"adhitrathas"
"adhivanga"
"adhokshaja"
"adhvaryus"
"adhwaryu"
"adhwaryyus"
"adhyaryu"
"adhyaryus"
"adhyatma"
"adhyudha"
"adi"
"adieu"
"adieus"
"adipose"
"aditi"
"aditis"
"aditithat"
"aditya"
"adityaketu"
"adityas"
"adityathat"
"adivansavatara"
"adivansavatarana"
"adjacence"
"adjured"
"administer"
"administerer"
"administereth"
"administration"
"admired"
"admission"
"admit"
"admittance"
"admixture"
"admonition"
"ado"
"adopt"
"adopted"
"adopter"
"adopting"
"adoption"
"adorable"
"adoration"
"adorations"
"adore"
"adored"
"adorer"
"adorers"
"adorethinking"
"adorned"
"adorning"
"adornment"
"adrift"
"adrika"
"adrisyanti"
"adulation"
"adulatory"
"adulterer"
"adultery"
"adults"
"advance"
"advanced"
"advancement"
"advancer"
"advanceth"
"advancing"
"advanta"
"advantage"
"advent"
"adversaries"
"adversary"
"adversarys"
"adversity"
"adversitythis"
"adverting"
"advice"
"advise"
"adviser"
"advisers"
"advising"
"affair"
"affairs"
"affection"
"affectionate"
"affectionately"
"affections"
"affirm"
"afflict"
"afflicted"
"afflicter"
"afflicting"
"affliction"
"afflictions"
"afflictor"
"affluence"
"affluent"
"afford"
"affords"
